"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2016年7月4日","602.90","604.20","604.20","602.90","0.00K","0.13%"
"2016年7月1日","602.10","597.40","603.90","595.90","0.10K","1.18%"
"2016年6月30日","595.10","592.90","595.10","592.90","0.10K","1.04%"
"2016年6月29日","589.00","581.50","589.00","579.80","0.02K","2.12%"
"2016年6月28日","576.80","578.60","579.70","576.80","0.01K","2.63%"
"2016年6月27日","562.00","585.10","585.30","562.00","0.04K","-10.37%"
"2016年6月23日","627.00","625.50","634.50","625.50","0.27K","0.40%"
"2016年6月22日","624.50","620.60","624.90","620.60","0.01K","1.08%"
"2016年6月21日","617.80","617.80","617.80","617.80","0.00K","0.18%"
"2016年6月20日","616.70","611.80","618.80","611.80","0.05K","3.75%"
"2016年6月17日","594.40","594.50","597.30","594.40","0.21K","-4.02%"
"2016年6月10日","619.30","619.80","620.20","619.30","0.03K","-0.88%"
"2016年6月9日","624.80","627.60","627.60","624.40","0.07K","-0.72%"
"2016年6月8日","629.30","629.90","629.90","629.30","0.00K","-0.91%"
"2016年6月7日","635.10","634.10","635.10","634.10","0.14K","-0.11%"
"2016年6月3日","635.80","634.90","635.80","634.90","0.01K","0.30%"
"2016年6月2日","633.90","634.80","634.80","632.90","0.11K","-0.08%"
"2016年6月1日","634.40","634.90","634.90","633.00","0.05K","-0.30%"
"2016年5月31日","636.30","637.80","637.80","636.30","0.12K","-0.14%"
"2016年5月30日","637.20","637.20","637.20","637.20","0.00K","-0.05%"
"2016年5月27日","637.50","634.20","637.80","634.20","0.03K","0.38%"
"2016年5月26日","635.10","633.10","635.10","633.10","0.01K","0.40%"
"2016年5月25日","632.60","630.30","632.60","629.50","0.42K","0.60%"
"2016年5月24日","628.80","615.60","628.80","615.60","0.23K","1.75%"
"2016年5月23日","618.00","614.20","618.00","614.20","0.06K","-0.02%"
"2016年5月20日","618.10","615.70","618.50","615.70","0.05K","1.18%"
"2016年5月19日","610.90","610.10","610.90","608.60","0.00K","-0.59%"
"2016年5月18日","614.50","611.60","614.50","611.60","0.03K","-0.66%"
"2016年5月17日","618.60","618.60","618.60","618.60","0.00K","0.57%"
"2016年5月13日","615.10","608.70","615.10","606.80","0.02K","-0.84%"
"2016年5月12日","620.30","612.20","620.30","612.20","0.07K","0.65%"
"2016年5月11日","616.30","612.70","616.30","612.30","0.01K","0.87%"
"2016年5月10日","611.00","612.30","612.30","611.00","0.00K","0.66%"
"2016年5月9日","607.00","607.10","612.00","607.00","0.28K","-0.12%"
"2016年5月6日","607.70","602.20","607.70","601.30","0.19K","0.20%"
"2016年5月5日","606.50","605.60","606.50","605.20","0.06K","0.51%"
"2016年5月4日","603.40","605.80","608.80","603.40","0.23K","-0.41%"
"2016年5月3日","605.90","609.70","610.80","604.00","0.40K","-1.43%"
"2016年5月2日","614.70","613.70","616.30","613.70","0.04K","0.05%"
"2016年4月29日","614.40","619.10","620.30","614.40","0.08K","-1.55%"
"2016年4月28日","624.10","623.10","624.90","616.60","0.11K","-0.72%"
"2016年4月27日","628.60","623.70","628.60","623.60","0.06K","0.54%"
"2016年4月26日","625.20","628.00","628.00","622.40","0.04K","0.24%"
"2016年4月25日","623.70","628.80","628.80","621.50","0.25K","-0.70%"
"2016年4月22日","628.10","626.50","630.60","626.50","0.12K","-0.11%"
"2016年4月21日","628.80","630.80","631.60","624.20","0.18K","0.37%"
"2016年4月20日","626.50","623.90","626.50","623.90","0.08K","0.21%"
"2016年4月19日","625.20","621.90","625.20","621.90","0.09K","1.82%"
"2016年4月18日","614.00","612.00","614.00","612.00","0.01K","-0.32%"
"2016年4月15日","616.00","616.00","616.00","616.00","0.00K","0.16%"
"2016年4月14日","615.00","616.00","616.00","613.20","0.17K","0.56%"
"2016年4月13日","611.60","607.20","613.10","606.90","0.32K","2.05%"
"2016年4月12日","599.30","599.20","599.30","591.60","0.10K","-0.05%"
"2016年4月11日","599.60","595.30","602.00","595.30","0.19K","0.22%"
"2016年4月8日","598.30","592.50","598.30","591.20","0.03K","1.67%"
"2016年4月7日","588.50","596.80","597.40","588.50","0.07K","-0.86%"
"2016年4月6日","593.60","590.00","593.60","588.60","0.02K","0.29%"
"2016年4月5日","591.90","593.70","593.70","590.00","0.24K","-2.02%"
"2016年4月4日","604.10","603.40","605.70","603.40","0.28K","0.53%"
"2016年4月1日","600.90","600.60","602.20","594.60","0.02K","-1.69%"
"2016年3月31日","611.20","612.20","613.00","609.70","0.02K","-1.02%"
"2016年3月30日","617.50","610.30","618.20","610.10","0.07K","2.20%"
"2016年3月29日","604.20","606.60","606.90","601.30","0.33K","0.53%"
"2016年3月24日","601.00","601.10","601.20","601.00","0.05K","-1.20%"
"2016年3月23日","608.30","615.40","615.50","608.30","0.01K","-0.13%"
"2016年3月22日","609.10","604.10","609.10","600.00","0.03K","0.31%"
"2016年3月21日","607.20","610.50","612.50","605.80","0.03K","0.35%"
"2016年3月18日","605.10","605.80","606.40","605.10","0.02K","0.75%"
"2016年3月15日","600.60","599.60","600.70","598.50","0.14K","-1.88%"
"2016年3月14日","612.10","611.80","614.10","610.30","0.11K","1.27%"
"2016年3月11日","604.40","603.40","605.00","600.30","0.04K","2.22%"
"2016年3月10日","591.30","605.10","605.10","591.30","0.16K","-1.89%"
"2016年3月9日","602.70","602.20","607.10","602.20","0.06K","0.18%"
"2016年3月8日","601.60","601.60","606.30","599.90","0.11K","-0.66%"
"2016年3月7日","605.60","606.20","606.50","602.00","0.04K","-0.31%"
"2016年3月4日","607.50","601.20","608.00","601.20","0.05K","1.25%"
"2016年3月3日","600.00","596.10","600.00","596.10","0.01K","1.21%"
"2016年3月2日","592.80","600.50","602.50","592.80","0.02K","-0.72%"
"2016年3月1日","597.10","588.60","597.10","588.60","0.09K","2.54%"
"2016年2月29日","582.30","576.30","582.30","576.30","0.02K","-0.21%"
"2016年2月26日","583.50","583.80","583.80","583.50","0.01K","1.55%"
"2016年2月25日","574.60","568.60","574.60","568.60","0.02K","1.95%"
"2016年2月24日","563.60","570.10","570.10","559.60","0.22K","-2.37%"
"2016年2月23日","577.30","583.30","583.70","577.30","0.04K","-0.52%"
"2016年2月22日","580.30","575.00","581.00","575.00","0.04K","1.70%"
"2016年2月19日","570.60","574.40","576.00","570.60","0.08K","-0.45%"
"2016年2月18日","573.20","570.30","576.10","570.30","0.01K","0.37%"
"2016年2月17日","571.10","562.80","571.10","562.80","0.00K","3.05%"
"2016年2月16日","554.20","555.90","557.00","554.20","0.04K","0.36%"
"2016年2月15日","552.20","550.00","553.50","549.70","0.01K","3.66%"
"2016年2月12日","532.70","535.00","535.00","531.10","0.01K","-0.34%"
"2016年2月11日","534.50","537.20","537.20","529.30","0.12K","-3.08%"
"2016年2月10日","551.50","555.60","555.60","549.60","0.01K","1.96%"
"2016年2月9日","540.90","542.20","544.20","536.00","0.07K","-1.15%"
"2016年2月8日","547.20","562.40","562.40","546.40","0.03K","-4.42%"
"2016年2月5日","572.50","573.90","578.00","572.50","0.03K","-0.47%"
"2016年2月4日","575.20","574.40","575.40","566.50","0.03K","0.82%"
"2016年2月3日","570.50","573.90","578.10","565.90","0.05K","-1.16%"
"2016年2月2日","577.20","582.00","583.50","577.00","0.04K","-2.37%"
"2016年2月1日","591.20","592.00","592.80","587.70","0.02K","0.19%"
"2016年1月29日","590.10","587.90","590.10","583.60","0.05K","1.97%"
"2016年1月28日","578.70","587.90","588.00","578.10","0.12K","-1.45%"
"2016年1月27日","587.20","587.90","590.20","584.20","0.14K","-0.20%"
"2016年1月26日","588.40","571.50","588.90","571.50","0.06K","2.40%"
"2016年1月25日","574.60","576.40","578.40","574.40","0.21K","-0.78%"
"2016年1月22日","579.10","572.70","580.90","572.70","0.01K","2.70%"
"2016年1月21日","563.90","559.20","563.90","552.70","0.10K","2.23%"
"2016年1月20日","551.60","558.20","558.20","551.60","0.35K","-3.19%"
"2016年1月19日","569.80","571.70","573.50","567.50","0.42K","1.46%"
"2016年1月18日","561.60","567.10","568.00","557.50","0.09K","0.23%"
"2016年1月15日","560.30","576.60","576.60","558.80","0.08K","-3.21%"
"2016年1月14日","578.90","579.70","580.80","570.10","0.09K","-2.10%"
"2016年1月13日","591.30","592.80","592.80","591.30","0.02K","0.60%"
"2016年1月12日","587.80","578.00","588.90","578.00","0.06K","1.21%"
"2016年1月11日","580.80","579.70","580.80","579.70","0.00K","-0.33%"
"2016年1月8日","582.70","590.00","590.60","582.70","0.10K","-0.19%"
"2016年1月7日","583.80","581.70","583.80","578.90","0.22K","-2.13%"
"2016年1月6日","596.50","599.70","599.70","593.70","0.07K","-1.00%"
"2016年1月5日","602.50","604.40","605.30","600.20","0.04K","-0.26%"
"2016年1月4日","604.10","606.00","606.00","600.60","0.01K","-2.82%"
